rank,word,count
1240,charge,1
1241,charter,1
1242,checkup,1
1243,chew,1
1244,circumstance,1
1245,citizensmaking,1
1246,claim,1
1247,classmate,1
1248,clean,1
1249,click,1
1250,client,1
1251,cloudworld,1
1252,club,1
1253,clue,1
1254,code,1
1255,coffee,1
1256,cold,1
1257,collaborate,1
1258,collectedwhich,1
1259,collective,1
1260,collectively,1
1261,colombia,1
1262,combination,1
1263,combine,1
1264,commercially,1
1265,commissioner,1
1266,commit,1
1267,companiesespecially,1
1268,compare,1
1269,compassionate,1
1270,competitor,1
1271,complement,1
1272,complementary,1
1273,complete,1
1274,complexity,1
1275,compliance,1
1276,composition,1
1277,comprehensive,1
1278,computational,1
1279,computationally,1
1280,concentrate,1
1281,concrete,1
1282,conduct,1
1283,conference,1
1284,conflict,1
1285,congestion,1
1286,congress,1
1287,connection,1
1288,conspiracy,1
1289,consultative,1
1290,contain,1
1291,contend,1
1292,contextspecific,1
1293,contrary,1
1294,controversial,1
1295,convergence,1
1296,convince,1
1297,cope,1
1298,cork,1
1299,correctly,1
1300,corrector,1
1301,corroborate,1
1302,cough,1
1303,councilfocuses,1
1304,counterclaim,1
1305,cover,1
1306,cpu,1
1307,crash,1
1308,crawl,1
1309,create,1
1310,creative,1
1311,creativity,1
1312,credit,1
1313,creep,1
1314,critical,1
1315,crossreference,1
1316,crossreferencing,1
1317,crucial,1
1318,crunch,1
1319,cry,1
1320,cup,1
1321,curious,1
1322,curve,1
1323,custodian,1
1324,cycle,1
1325,dangerous,1
1326,daquin,1
1327,dark,1
1328,datadata,1
1329,datasharing,1
1330,date,1
1331,dave,1
1332,day,1
1333,deanonymised,1
1334,debate,1
1335,decent,1
1336,definitely,1
1337,defy,1
1338,deidentification,1
1339,delete,1
1340,deliberate,1
1341,delivery,1
1342,democracy,1
1343,demographic,1
1344,demonstrate,1
1345,departmental,1
1346,deployment,1
1347,deprivation,1
1348,depth,1
1349,derek,1
1350,describe,1
1351,destroy,1
1352,detective,1
1353,developer,1
1354,dictum,1
1355,differently,1
1356,difficulty,1
1357,digitise,1
1358,directive,1
1359,disclosure,1
1360,discount,1
1361,disease,1
1362,disentangle,1
1363,disposition,1
1364,disproportionate,1
1365,disprove,1
1366,disrupt,1
1367,distill,1
1368,distinguish,1
1369,doc,1
1370,doubleedged,1
1371,dread,1
1372,dream,1
1373,driver,1
1374,dtcs,1
1375,dubious,1
1376,duplicitous,1
1377,dutch,1
1378,ear,1
1379,easily,1
1380,east,1
1381,eccentric,1
1382,economist,1
1383,educate,1
1384,effectively,1
1385,efficiency,1
1386,egyptian,1
1387,eight,1
1388,elderly,1
1389,election,1
1390,electronic,1
1391,ella,1
1392,elliot,1
1393,elsewhere,1
1394,email,1
1395,emergence,1
1396,emma,1
1397,emotion,1
1398,emphasis,1
1399,emphasise,1
1400,empirical,1
1401,encourage,1
1402,energy,1
1403,english,1
1404,enter,1
1405,entitlement,1
1406,entrust,1
1407,envisage,1
1408,equitable,1
1409,erroneous,1
1410,error,1
1411,esrcfunded,1
1412,estimate,1
1413,estonia,1
1414,ethicist,1
1415,eurobarometer,1
1416,eurojobscom,1
1417,europol,1
1418,everywhere,1
1419,exact,1
1420,exampleperhaps,1
1421,exceed,1
1422,except,1
1423,exclude,1
1424,exclusion,1
1425,executive,1
1426,exhaustive,1
1427,expand,1
1428,expectation,1
1429,expedition,1
1430,explode,1
1431,explore,1
1432,expose,1
1433,exquisitely,1
1434,extraordinarily,1
1435,fabric,1
1436,fabrication,1
1437,fabulous,1
1438,facet,1
1439,facetious,1
1440,factorise,1
1441,fail,1
1442,faith,1
1443,fall,1
1444,family,1
1445,famous,1
1446,famously,1
1447,fantastic,1
1448,fastmoving,1
1449,fat,1
1450,fearful,1
1451,federal,1
1452,feed,1
1453,fellow,1
1454,fema,1
1455,fence,1
1456,filter,1
1457,finegrained,1
1458,finland,1
1459,finlay,1
1460,fitness,1
1461,fiveperson,1
1462,flashlight,1
1463,flight,1
1464,flippant,1
1465,float,1
1466,fly,1
1467,folk,1
1468,follower,1
1469,followup,1
1470,force,1
1471,foremost,1
1472,former,1
1473,formerly,1
1474,formulate,1
1475,forthcoming,1
1476,forthwhereas,1
1477,foster,1
1478,foundational,1
1479,four,1
1480,frail,1
1481,frameworkstandardisation,1
1482,friction,1
1483,fridge,1
1484,fulltime,1
1485,fun,1
1486,function,1
1487,fundamental,1
1488,funny,1
1489,fusion,1
1490,futureproof,1
1491,garage,1
1492,gauge,1
1493,generalise,1
1494,generation,1
1495,gentleman,1
1496,germany,1
1497,globally,1
1498,god,1
1499,gold,1
1500,gossip,1
1501,governmentgenerated,1
1502,grab,1
1503,grammar,1
1504,graph,1
1505,green,1
1506,grey,1
1507,grouping,1
1508,growth,1
1509,guard,1
1510,guidance,1
1511,gumshoe,1
1512,hadoop,1
1513,halfway,1
1514,hamper,1
1515,handbook,1
1516,hang,1
1517,hardly,1
1518,harvest,1
1519,hashtags,1
1520,hazard,1
1521,headline,1
1522,healthy,1
1523,heebiejeebies,1
1524,hence,1
1525,higherspeed,1
1526,highway,1
1527,hire,1
1528,historical,1
1529,history,1
1530,hockey,1
1531,holding,1
1532,homeland,1
1533,honest,1
1534,hopeless,1
1535,horizon,1
1536,hose,1
1537,hospital,1
1538,house,1
1539,huffington,1
1540,humanityconnected,1
1541,ibm,1
1542,iconic,1
1543,iconrelated,1
1544,identification,1
1545,ignorantly,1
1546,illinois,1
1547,illuminate,1
1548,immediate,1
1549,immediately,1
1550,immutable,1
1551,imperative,1
1552,implement,1
1553,importance,1
1554,impose,1
1555,impossible,1
1556,impression,1
1557,impropriety,1
1558,improvement,1
1559,incoming,1
1560,independently,1
1561,index,1
1562,indian,1
1563,indicator,1
1564,inexperienced,1
1565,infer,1
1566,infirm,1
1567,influence,1
1568,informatics,1
1569,informationsharing,1
1570,infrastructural,1
1571,infrastructurewhere,1
1572,initially,1
1573,innovative,1
1574,inoculation,1
1575,inquiry,1
1576,inside,1
1577,inspectable,1
1578,instancewho,1
1579,instinct,1
1580,institutional,1
1581,institutionalise,1
1582,instrument,1
1583,intentionally,1
1584,interact,1
1585,interception,1
1586,interesttaking,1
